Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,Average Precision
Logistic Regression,0.9934445286196801,0.3043364681295716,0.5431235431235432,0.3900887326301691,0.9322104709651813,0.21073323119888498
Decision Tree,0.9705570621123265,0.11196025983951088,0.9561771561771562,0.20044956997654417,0.969676277710976,0.6155774439512351
Random Forest,0.8999062475819614,0.010919466647156732,0.2783216783216783,0.021014467246295188,0.6149423597654549,0.006569539687607385
